dummy index,Johnson Controls Name,BACnet Name,BACnet Description,BACnet Unit,Ground Truth Point Type,Point Ref,Location,Equipment Type,Equipment Ref,Equipment Subsystems,Building,Comments,BACnet Type Str
3646,EBU3B.CHWP3-VFD.ACC-TIME,NAE 05 N2 1 VND 26 ACC TIME,Acceleration Time,73,Acceleration Time,,Rm_B102C,VFD,,Chilled Water System -> Pump -> 3 -> VFD,EBU3B,,Analog Output
3674,EBU3B.CHWP4-VFD.ACC-TIME,NAE 05 N2 1 VND 27 ACC TIME,Acceleration Time,73,Acceleration Time,,Rm_B102C,VFD,,Chilled Water System -> Pump -> 4 -> VFD,EBU3B,,Analog Output
0,EBU3B.RM-1100A..ACTCLGSP,NAE 05 N2 2 VMA 103 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1100A,VAV,103,VAV -> Rm_1100A,EBU3B,,Analog Input
17,EBU3B.RM-1100D..ACTCLGSP,NAE 05 N2 2 VMA 147 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1100D,VAV,147,VAV -> Rm_1100D,EBU3B,,Analog Input
33,EBU3B.RM-1102..ACTCLGSP,NAE 05 N2 2 VMA 125 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1102,VAV,125,VAV -> Rm_1102,EBU3B,,Analog Input
49,EBU3B.RM-1104..ACTCLGSP,NAE 05 N2 2 VMA 126 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1104,VAV,126,VAV -> Rm_1104,EBU3B,,Analog Input
65,EBU3B.RM-1106..ACTCLGSP,NAE 05 N2 2 VMA 127 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1106,VAV,127,VAV -> Rm_1106,EBU3B,,Analog Input
81,EBU3B.RM-1107..ACTCLGSP,NAE 05 N2 2 VMA 148 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1107,VAV,148,VAV -> Rm_1107,EBU3B,,Analog Input
97,EBU3B.RM-1108..ACTCLGSP,NAE 05 N2 2 VMA 128 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1108,VAV,128,VAV -> Rm_1108,EBU3B,,Analog Input
113,EBU3B.RM-1109..ACTCLGSP,NAE 05 N2 2 VMA 130 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1109,VAV,130,VAV -> Rm_1109,EBU3B,,Analog Input
129,EBU3B.RM-1110..ACTCLGSP,NAE 05 N2 2 VMA 129 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1110,VAV,129,VAV -> Rm_1110,EBU3B,,Analog Input
145,EBU3B.RM-1113..ACTCLGSP,NAE 05 N2 2 VMA 149 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1113,VAV,149,VAV -> Rm_1113,EBU3B,,Analog Input
161,EBU3B.RM-1115..ACTCLGSP,NAE 05 N2 2 VMA 151 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1115,VAV,151,VAV -> Rm_1115,EBU3B,,Analog Input
177,EBU3B.RM-1116..ACTCLGSP,NAE 05 N2 2 VMA 131 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1116,VAV,131,VAV -> Rm_1116,EBU3B,,Analog Input
193,EBU3B.RM-1117..ACTCLGSP,NAE 05 N2 2 VMA 104 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1117,VAV,104,VAV -> Rm_1117,EBU3B,,Analog Input
210,EBU3B.RM-1122..ACTCLGSP,NAE 05 N2 2 VMA 132 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1122,VAV,132,VAV -> Rm_1122,EBU3B,,Analog Input
226,EBU3B.RM-1123..ACTCLGSP,NAE 05 N2 2 VMA 141 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1123,VAV,141,VAV -> Rm_1123,EBU3B,,Analog Input
242,EBU3B.RM-1124..ACTCLGSP,NAE 05 N2 2 VMA 134 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1124,VAV,134,VAV -> Rm_1124,EBU3B,,Analog Input
259,EBU3B.RM-1125..ACTCLGSP,NAE 05 N2 2 VMA 150 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1125,VAV,150,VAV -> Rm_1125,EBU3B,,Analog Input
275,EBU3B.RM-1126..ACTCLGSP,NAE 05 N2 2 VMA 135 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1126,VAV,135,VAV -> Rm_1126,EBU3B,,Analog Input
291,EBU3B.RM-1130..ACTCLGSP,NAE 05 N2 2 VMA 102 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1130,VAV,102,VAV -> Rm_1130,EBU3B,,Analog Input
308,EBU3B.RM-1132..ACTCLGSP,NAE 05 N2 2 VMA 145 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1132,VAV,145,VAV -> Rm_1132,EBU3B,,Analog Input
324,EBU3B.RM-1133..ACTCLGSP,NAE 05 N2 2 VMA 146 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1133,VAV,146,VAV -> Rm_1133,EBU3B,,Analog Input
340,EBU3B.RM-1134..ACTCLGSP,NAE 05 N2 2 VMA 144 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1134,VAV,144,VAV -> Rm_1134,EBU3B,,Analog Input
356,EBU3B.RM-1139..ACTCLGSP,NAE 05 N2 2 VMA 143 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1139,VAV,143,VAV -> Rm_1139,EBU3B,,Analog Input
372,EBU3B.RM-1144..ACTCLGSP,NAE 05 N2 2 VMA 142 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1144,VAV,142,VAV -> Rm_1144,EBU3B,,Analog Input
388,EBU3B.RM-1145..ACTCLGSP,NAE 05 N2 2 VMA 133 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1145,VAV,133,VAV -> Rm_1145,EBU3B,,Analog Input
404,EBU3B.RM-1150..ACTCLGSP,NAE 05 N2 2 VMA 140 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1150,VAV,140,VAV -> Rm_1150,EBU3B,,Analog Input
420,EBU3B.RM-1151..ACTCLGSP,NAE 05 N2 2 VMA 137 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1151,VAV,137,VAV -> Rm_1151,EBU3B,,Analog Input
436,EBU3B.RM-1154..ACTCLGSP,NAE 05 N2 2 VMA 139 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1154,VAV,139,VAV -> Rm_1154,EBU3B,,Analog Input
452,EBU3B.RM-1155..ACTCLGSP,NAE 05 N2 2 VMA 136 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1155,VAV,136,VAV -> Rm_1155,EBU3B,,Analog Input
468,EBU3B.RM-1156..ACTCLGSP,NAE 05 N2 2 VMA 138 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1156,VAV,138,VAV -> Rm_1156,EBU3B,,Analog Input
484,EBU3B.RM-1200A..ACTCLGSP,NAE 05 N2 2 VMA 105 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1200A,VAV,105,VAV -> Rm_1200A,EBU3B,,Analog Input
500,EBU3B.RM-1200B..ACTCLGSP,NAE 05 N2 2 VMA 101 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1200B,VAV,101,VAV -> Rm_1200B,EBU3B,,Analog Input
517,EBU3B.RM-1200C..ACTCLGSP,NAE 05 N2 2 VMA 106 ACTCLGSP,Actual Cooling Setpoint,64,Actual Cooling Setpoint,,Rm_1200C,VAV,106,VAV -> Rm_1200C,EBU3B,,Analog Input
